Año;Código;Localidad;Casos;Población;Tasa X 100.000 habitantes
2022;10;Engativá;50.0;827582.0;6.0
2022;11;Suba;42.0;1239208.0;3.4
2022;12;Barrios Unidos;9.0;140890.0;6.4
2022;13;Teusaquillo;20.0;157675.0;12.7
2022;14;Los Mártires;21.0;84501.0;24.9
2022;15;Antonio Nariño;18.0;80791.0;22.3
2022;16;Puente Aranda;34.0;252491.0;13.5
2022;17;La Candelaria;4.0;17171.0;23.3
2022;18;Rafael Uribe Uribe;33.0;381509.0;8.6
2022;19;Ciudad Bolívar;40.0;659992.0;6.1
2022;20;Sumapaz;0.0;3530.0;0.0
2023;1;Usaquén;35.0;574156.0;6.1
2023;2;Chapinero;14.0;165904.0;8.4
2023;3;Santa Fe;22.0;112146.0;19.6
2023;4;San Cristóbal;22.0;401706.0;5.5
2023;5;Usme;25.0;396861.0;6.3
2023;6;Tunjuelito;20.0;178288.0;11.2
2023;7;Bosa;45.0;753842.0;6.0
2023;8;Kennedy;87.0;1075140.0;8.1
2023;9;Fontibón;41.0;391507.0;10.5
2023;10;Engativá;48.0;828832.0;5.8
2023;11;Suba;43.0;1244051.0;3.5
2023;12;Barrios Unidos;19.0;140630.0;13.5
2023;13;Teusaquillo;19.0;157914.0;12.0
2023;14;Los Mártires;20.0;84395.0;23.7
2023;15;Antonio Nariño;12.0;80412.0;14.9
2023;16;Puente Aranda;33.0;252497.0;13.1
2023;17;La Candelaria;1.0;17047.0;5.9
2023;18;Rafael Uribe Uribe;24.0;381011.0;6.3
2023;19;Ciudad Bolívar;46.0;667368.0;6.9
2023;20;Sumapaz;0.0;3574.0;0.0
2016;1;Usaquén;34.0;524563.0;6.5
2016;2;Chapinero;14.0;153204.0;9.1
2016;3;Santa Fe;18.0;102485.0;17.6
2016;4;San Cristóbal;19.0;382102.0;5.0
2016;5;Usme;20.0;356045.0;5.6
2016;6;Tunjuelito;32.0;170248.0;18.8
2016;7;Bosa;36.0;677908.0;5.3
2016;8;Kennedy;81.0;1004979.0;8.1
2016;9;Fontibón;32.0;358804.0;8.9
2016;10;Engativá;69.0;784129.0;8.8
2016;11;Suba;46.0;1128753.0;4.1
2016;12;Barrios Unidos;22.0;135739.0;16.2
2016;13;Teusaquillo;18.0;142633.0;12.6
2016;14;Los Mártires;19.0;73440.0;25.9
2016;15;Antonio Nariño;19.0;80014.0;23.7
2016;16;Puente Aranda;43.0;240673.0;17.9
2016;17;La Candelaria;2.0;17141.0;11.7
2016;18;Rafael Uribe Uribe;24.0;361010.0;6.6
2016;19;Ciudad Bolívar;37.0;603882.0;6.1
2016;20;Sumapaz;0.0;3166.0;0.0
2015;1;Usaquén;23.0;520480.0;4.4
2015;2;Chapinero;18.0;151996.0;11.8
2015;3;Santa Fe;22.0;102155.0;21.5
2015;4;San Cristóbal;26.0;382247.0;6.8
2015;5;Usme;17.0;353558.0;4.8
2015;6;Tunjuelito;21.0;170388.0;12.3
2015;7;Bosa;34.0;671404.0;5.1
2015;8;Kennedy;86.0;1001537.0;8.6
2015;9;Fontibón;27.0;356388.0;7.6
2015;10;Engativá;57.0;783433.0;7.3
2015;11;Suba;40.0;1120332.0;3.6
2015;12;Barrios Unidos;18.0;138250.0;13.0
2015;13;Teusaquillo;14.0;142245.0;9.8
2015;14;Los Mártires;27.0;73987.0;36.5
2015;15;Antonio Nariño;21.0;81014.0;25.9
2015;16;Puente Aranda;38.0;240697.0;15.8
2015;17;La Candelaria;1.0;17290.0;5.8
2015;18;Rafael Uribe Uribe;16.0;360924.0;4.4
2015;19;Ciudad Bolívar;40.0;601716.0;6.6
2015;20;Sumapaz;0.0;3224.0;0.0
2024;1;Usaquén;29.0;574260.0;5.0
2024;2;Chapinero;14.0;164936.0;8.5
2024;3;Santa Fe;25.0;112945.0;22.1
2024;4;San Cristóbal;24.0;401769.0;6.0
2024;5;Usme;28.0;400313.0;7.0
2024;6;Tunjuelito;38.0;177919.0;21.4
2024;7;Bosa;44.0;761253.0;5.8
2024;8;Kennedy;80.0;1078895.0;7.4
2024;9;Fontibón;31.0;391900.0;7.9
2024;10;Engativá;60.0;828753.0;7.2
2024;11;Suba;56.0;1246636.0;4.5
2024;12;Barrios Unidos;20.0;140302.0;14.3
2024;13;Teusaquillo;22.0;157925.0;13.9
2024;14;Los Mártires;31.0;84284.0;36.8
2024;15;Antonio Nariño;13.0;80107.0;16.2
2024;16;Puente Aranda;42.0;252262.0;16.6
2024;17;La Candelaria;2.0;16927.0;11.8
2024;18;Rafael Uribe Uribe;22.0;380283.0;5.8
2024;19;Ciudad Bolívar;31.0;674259.0;4.6
2024;20;Sumapaz;2.0;3611.0;55.4
2025;1;Usaquén;46.0;572925.0;8.0
2025;2;Chapinero;18.0;163693.0;11.0
