Año;Código;Localidad;Casos;Población;Tasa X 100.000 habitantes
2022;0;Distrito;630;7873316;8
2023;1;Usaquén;35;574.156;6,1
2023;2;Chapinero;14;165.904;8,4
2023;3;Santa Fe;22;112.146;19,6
2023;4;San Cristóbal;22;401.706;5,5
2023;5;Usme;25;396.861;6,3
2023;6;Tunjuelito;20;178.288;11,2
2023;7;Bosa;45;753.842;6
2023;8;Kennedy;87;1.075.140;8,1
2023;9;Fontibón;41;391.507;10,5
2023;10;Engativá;48;828.832;5,8
2023;11;Suba;43;1.244.051;3,5
2023;12;Barrios Unidos;19;140.630;13,5
2023;13;Teusaquillo;19;157.914;12
2023;14;Los Mártires;20;84.395;23,7
2023;15;Antonio Nariño;12;80.412;14,9
2023;16;Puente Aranda;33;252.497;13,1
2023;17;La Candelaria;1;17.047;5,9
2023;18;Rafael Uribe Uribe;24;381.011;6,3
2023;19;Ciudad Bolívar;46;667.368;6,9
2023;20;Sumapaz;;3.574;0
2023;99;Sin dato;53;;0
2023;0;Distrito;629;7907281;8
2016;1;Usaquén;34;524563;6,5
2016;2;Chapinero;14;153204;9,1
2016;3;Santa Fe;18;102485;17,6
2016;4;San Cristóbal;19;382102;5
2016;5;Usme;20;356045;5,6
2016;6;Tunjuelito;32;170248;18,8
2016;7;Bosa;36;677908;5,3
2016;8;Kennedy;81;1004979;8,1
2016;9;Fontibón;32;358804;8,9
2016;10;Engativá;69;784129;8,8
2016;11;Suba;46;1128753;4,1
2016;12;Barrios Unidos;22;135739;16,2
2016;13;Teusaquillo;18;142633;12,6
2016;14;Los Mártires;19;73440;25,9
2016;15;Antonio Nariño;19;80014;23,7
2016;16;Puente Aranda;43;240673;17,9
2016;17;La Candelaria;2;17141;11,7
2016;18;Rafael Uribe Uribe;24;361010;6,6
2016;19;Ciudad Bolívar;37;603882;6,1
2016;20;Sumapaz;0;3166;0
2016;99;Sin dato;6;0;0
2016;0;Distrito;591;7300918;8,1
2015;1;Usaquén;23;520480;4,4
2015;2;Chapinero;18;151996;11,8
2015;3;Santa Fe;22;102155;21,5
2015;4;San Cristóbal;26;382247;6,8
2015;5;Usme;17;353558;4,8
2015;6;Tunjuelito;21;170388;12,3
2015;7;Bosa;34;671404;5,1
2015;8;Kennedy;86;1001537;8,6
2015;9;Fontibón;27;356388;7,6
2015;10;Engativá;57;783433;7,3
2015;11;Suba;40;1120332;3,6
2015;12;Barrios Unidos;18;138250;13
2015;13;Teusaquillo;14;142245;9,8
2015;14;Los Mártires;27;73987;36,5
2015;15;Antonio Nariño;21;81014;25,9
2015;16;Puente Aranda;38;240697;15,8
2015;17;La Candelaria;1;17290;5,8
2015;18;Rafael Uribe Uribe;16;360924;4,4
2015;19;Ciudad Bolívar;40;601716;6,6
2015;20;Sumapaz;;3224;0
2015;99;Sin dato;10;0;0
2015;0;Distrito;556;7273265;7,6
2024;1;Usaquén;29;574.260;5
2024;2;Chapinero;14;164.936;8,5
2024;3;Santa Fe;25;112.945;22,1
2024;4;San Cristóbal;24;401.769;6
2024;5;Usme;28;400.313;7
2024;6;Tunjuelito;38;177.919;21,4
2024;7;Bosa;44;761.253;5,8
2024;8;Kennedy;80;1.078.895;7,4
2024;9;Fontibón;31;391.900;7,9
2024;10;Engativá;60;828.753;7,2
2024;11;Suba;56;1.246.636;4,5
2024;12;Barrios Unidos;20;140.302;14,3
2024;13;Teusaquillo;22;157.925;13,9
2024;14;Los Mártires;31;84.284;36,8
2024;15;Antonio Nariño;13;80.107;16,2
2024;16;Puente Aranda;42;252.262;16,6
