"ORDEN,""IPAT"",""FECHA"",""AÑO"",""MES"",""DIA"",""GRAVEDAD"""
"58,""A000575500"",""2017-05-08T00:00:00.000"",""2017"",""5"",""lunes"",""SOLO DAÑOS"""
"59,""A000575511"",""2017-05-08T00:00:00.000"",""2017"",""5"",""lunes"",""CON HERIDOS"""
"60,""A000575506"",""2017-05-08T00:00:00.000"",""2017"",""5"",""lunes"",""SOLO DAÑOS"""
"61,""A000575496"",""2017-05-08T00:00:00.000"",""2017"",""5"",""lunes"",""SOLO DAÑOS"""
"62,""A000575514"",""2017-05-08T00:00:00.000"",""2017"",""5"",""lunes"",""SOLO DAÑOS"""
"63,""A000575505"",""2017-05-08T00:00:00.000"",""2017"",""5"",""lunes"",""CON HERIDOS"""
"64,""A000575495"",""2017-05-08T00:00:00.000"",""2017"",""5"",""lunes"",""SOLO DAÑOS"""
"65,""A000575515"",""2017-05-08T00:00:00.000"",""2017"",""5"",""lunes"",""SOLO DAÑOS"""
"66,""A000575497"",""2017-05-08T00:00:00.000"",""2017"",""5"",""lunes"",""CON HERIDOS"""
"67,""A000575529"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""CON MUERTOS"""
"68,""A000575524"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""SOLO DAÑOS"""
"69,""A000575516"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""CON HERIDOS"""
"70,""A000575530"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""SOLO DAÑOS"""
"71,""A000575508"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""CON HERIDOS"""
"72,""A000575523"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""SOLO DAÑOS"""
"73,""A000575517"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""SOLO DAÑOS"""
"74,""A000575507"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""CON HERIDOS"""
"75,""A000575525"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""SOLO DAÑOS"""
"76,""A000575526"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""SOLO DAÑOS"""
"77,""A000575513"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""CON HERIDOS"""
"78,""A000575512"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""CON HERIDOS"""
"79,""A000575518"",""2017-05-30T00:00:00.000"",""2017"",""5"",""martes"",""SOLO DAÑOS"""
"80,""A000575547"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"81,""A000575531"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"82,""A000575522"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"83,""A000575543"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"84,""A000575532"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""CON HERIDOS"""
"85,""A000575520"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"86,""A000575527"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""CON HERIDOS"""
"87,""A000575535"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"88,""A000575538"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"89,""A000575519"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"90,""A000575539"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
